epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.9317,1.00321,1.59071,1.34449,0.54352,0.59707,0.5838,0.40996,1.10737,1.56892,1.52551,0.00047401,0.00047401,0.00047401
2,131.398,1.11998,1.43623,1.41679,0.33516,0.48816,0.37752,0.23504,1.40322,2.58091,1.84895,0.000944071,0.000944071,0.000944071
3,194.749,1.13703,1.3785,1.42384,0.54331,0.52455,0.51649,0.3701,1.23631,1.66166,1.64126,0.00140784,0.00140784,0.00140784
4,257.63,1.1168,1.33692,1.41626,0.57373,0.60932,0.60035,0.42461,1.10737,1.44376,1.50074,0.00140071,0.00140071,0.00140071
5,321.866,1.04542,1.22672,1.37331,0.56941,0.56452,0.57408,0.42337,1.05724,1.35517,1.48833,0.00139127,0.00139127,0.00139127
6,394.846,1.01039,1.15271,1.34673,0.64158,0.63612,0.65724,0.4914,0.94481,1.13475,1.3685,0.00138184,0.00138184,0.00138184
7,464.416,1.00138,1.14579,1.33854,0.62439,0.62154,0.65619,0.49549,0.96216,1.13055,1.3813,0.00137241,0.00137241,0.00137241
8,534.351,0.97531,1.10764,1.31025,0.62603,0.59802,0.6574,0.50209,0.91515,1.12837,1.32035,0.00136298,0.00136298,0.00136298
9,603.514,0.9426,1.06681,1.29424,0.69677,0.66141,0.69061,0.53558,0.90356,0.95112,1.33751,0.00135355,0.00135355,0.00135355
10,686.798,0.93427,1.02927,1.28039,0.70275,0.68128,0.69425,0.54131,0.84945,0.93966,1.26388,0.00134412,0.00134412,0.00134412
11,761.747,0.89679,0.98264,1.26687,0.71154,0.7189,0.7333,0.5747,0.8246,0.84542,1.23206,0.00133469,0.00133469,0.00133469
12,835.346,0.90924,0.97858,1.27427,0.68755,0.63229,0.66685,0.52558,0.85525,0.96189,1.26466,0.00132525,0.00132525,0.00132525
13,912.073,0.88472,0.94955,1.26219,0.75423,0.70157,0.7414,0.58219,0.80109,0.82669,1.2282,0.00131582,0.00131582,0.00131582
14,986.682,0.86849,0.91625,1.24577,0.72127,0.67518,0.71351,0.56141,0.83067,0.87404,1.24191,0.00130639,0.00130639,0.00130639
15,1061.02,0.86403,0.90547,1.24562,0.69805,0.71766,0.7251,0.58,0.7928,0.80411,1.22149,0.00129696,0.00129696,0.00129696
16,1135.25,0.88169,0.92022,1.24989,0.68765,0.69614,0.69116,0.54439,0.82521,1.02386,1.22562,0.00128753,0.00128753,0.00128753
17,1211.28,0.84472,0.8991,1.22563,0.72708,0.71575,0.73995,0.59424,0.75959,0.78276,1.19817,0.0012781,0.0012781,0.0012781
18,1285.94,0.82837,0.85006,1.2196,0.7062,0.7082,0.72179,0.57909,0.7769,0.8861,1.1946,0.00126867,0.00126867,0.00126867
19,1360.52,0.84212,0.85237,1.22381,0.70503,0.74499,0.7311,0.59467,0.72435,0.79968,1.1594,0.00125923,0.00125923,0.00125923
