epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,154.145,0.97636,1.32664,1.32802,0.84788,0.86026,0.88673,0.70545,0.77237,0.72236,1.13376,0.00998408,0.00332803,0.00998408,0.00332803,0.00998408,0.00332803,0.00998408,0.00332803
2,301.814,0.99562,1.00815,1.308,0.84953,0.76323,0.83193,0.61779,0.98065,0.93996,1.25895,0.0198522,0.00661739,0.0198522,0.00661739,0.0198522,0.00661739,0.0198522,0.00661739
3,440.429,1.11271,1.17943,1.38542,0.75863,0.58095,0.63551,0.43432,1.29416,1.61165,1.78626,0.0295883,0.00986276,0.0295883,0.00986276,0.0295883,0.00986276,0.0295883,0.00986276
4,576.015,1.16636,1.28996,1.42759,0.80173,0.70448,0.77205,0.56311,1.04972,1.09874,1.39565,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,711.403,1.1159,1.19367,1.39078,0.78419,0.69433,0.76631,0.5772,0.97912,1.10805,1.3304,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,846.945,1.0623,1.10179,1.35488,0.84552,0.83058,0.87588,0.70289,0.80297,0.75347,1.15961,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,985.588,1.02357,1.03102,1.32459,0.87084,0.78346,0.85615,0.65265,0.86939,0.80407,1.20444,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1120.66,0.9774,0.96617,1.2939,0.85347,0.85126,0.88577,0.70942,0.77762,0.71166,1.16566,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1255.36,0.94734,0.93,1.27829,0.8966,0.83044,0.88649,0.73642,0.72873,0.67268,1.11745,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1400.98,0.92532,0.88488,1.26398,0.86526,0.82913,0.86421,0.70589,0.76772,0.73648,1.15518,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,1538.45,0.90293,0.85574,1.24526,0.8883,0.86129,0.90265,0.76588,0.67235,0.63421,1.07289,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,1674.81,0.89165,0.83508,1.23665,0.88595,0.87899,0.91727,0.76524,0.71564,0.5993,1.0895,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,1811.99,0.86417,0.80502,1.21615,0.90309,0.87013,0.92376,0.79208,0.63268,0.56159,1.02638,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,1949.03,0.86038,0.78858,1.21277,0.90305,0.87641,0.9106,0.78325,0.61416,0.55608,1.03169,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,2085.62,0.83818,0.77578,1.20206,0.9164,0.84615,0.91176,0.78814,0.60894,0.58925,1.0249,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,2221.64,0.8264,0.75127,1.19316,0.91813,0.86955,0.92016,0.80136,0.6074,0.53033,1.01459,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,2357.33,0.81217,0.73213,1.18442,0.89088,0.88479,0.91769,0.78749,0.61467,0.55727,1.03255,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,2492.67,0.80929,0.7191,1.17947,0.92345,0.87793,0.92346,0.79898,0.5969,0.50183,1.02196,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,2616.68,0.79851,0.70044,1.16861,0.91422,0.8809,0.92267,0.8024,0.58124,0.50161,0.99657,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,2740.77,0.79322,0.70126,1.16902,0.92095,0.89026,0.92587,0.80947,0.57018,0.48695,0.99246,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,2865.3,0.77673,0.68544,1.1664,0.91249,0.88981,0.92548,0.80882,0.58402,0.49633,1.00176,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,2989.82,0.77119,0.68107,1.15743,0.9185,0.8807,0.92702,0.81981,0.55603,0.49794,0.98868,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,3114.13,0.76451,0.66672,1.15449,0.92686,0.88919,0.93243,0.81494,0.57321,0.46951,0.99562,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,3238.34,0.75794,0.65452,1.14512,0.92719,0.90859,0.93542,0.82275,0.55864,0.46483,0.98359,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,3363.18,0.74698,0.6333,1.13747,0.92997,0.9052,0.92911,0.82272,0.53498,0.45994,0.96908,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,3487.72,0.74663,0.63546,1.13577,0.92543,0.89482,0.93765,0.82547,0.54829,0.46139,0.98138,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,3612.26,0.73899,0.62671,1.1312,0.93696,0.89582,0.93363,0.82592,0.54618,0.47253,0.97593,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,3736.96,0.72691,0.6139,1.12243,0.9223,0.90474,0.93113,0.82725,0.53434,0.4591,0.96595,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,3861.21,0.71348,0.60475,1.11473,0.93782,0.89645,0.92993,0.82337,0.52846,0.4623,0.95631,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,3985.48,0.71305,0.60092,1.11541,0.93111,0.89092,0.93021,0.83472,0.51182,0.45334,0.95796,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,4109.9,0.71421,0.59069,1.11816,0.94148,0.89333,0.94157,0.83872,0.51033,0.43657,0.94899,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,4234.16,0.70635,0.58037,1.10767,0.93924,0.89485,0.93341,0.83421,0.51238,0.42492,0.9575,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,4358.39,0.69999,0.58255,1.10854,0.92274,0.90632,0.93527,0.83194,0.52227,0.44185,0.96105,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,4482.61,0.69961,0.57288,1.10186,0.93761,0.90375,0.93689,0.83809,0.50921,0.42212,0.94769,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,4606.75,0.68769,0.56888,1.10068,0.93541,0.89816,0.93819,0.83931,0.50868,0.41383,0.95433,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,4731.07,0.68162,0.56242,1.09625,0.93184,0.91212,0.94044,0.84578,0.50205,0.41407,0.9496,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,4855.28,0.68096,0.55436,1.09202,0.9264,0.90846,0.94503,0.84559,0.50298,0.4082,0.94599,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,4979.42,0.67207,0.54519,1.08892,0.93418,0.8983,0.93806,0.84361,0.49937,0.41493,0.94743,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,5103.36,0.67036,0.54225,1.08695,0.93427,0.90962,0.93837,0.84538,0.50917,0.40709,0.9534,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,5228.09,0.66967,0.54587,1.0842,0.93091,0.89781,0.93752,0.84328,0.49853,0.4137,0.93674,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,5352.69,0.6615,0.53536,1.08523,0.95188,0.89012,0.94205,0.85252,0.48571,0.38976,0.9343,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,5477.46,0.66498,0.53305,1.07934,0.94118,0.91229,0.9479,0.85777,0.48985,0.38062,0.93054,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,5602.41,0.65185,0.51955,1.07284,0.94973,0.89941,0.94853,0.85568,0.48233,0.38953,0.9319,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,5727.07,0.65306,0.52004,1.07416,0.94298,0.89364,0.94401,0.85739,0.48265,0.38649,0.935,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,5851.92,0.64815,0.52221,1.07458,0.94504,0.90767,0.95086,0.85874,0.47796,0.37188,0.92764,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,5976.78,0.64407,0.51427,1.07232,0.93839,0.91531,0.94812,0.85848,0.47572,0.36436,0.92775,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,6101.5,0.63996,0.50096,1.07043,0.94553,0.90967,0.94651,0.85747,0.47247,0.36527,0.92913,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,6228.67,0.63732,0.50542,1.06954,0.93849,0.91089,0.94783,0.85604,0.4812,0.37792,0.93541,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,6359.27,0.63456,0.49783,1.06453,0.95021,0.89518,0.94095,0.8521,0.48515,0.38182,0.93614,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,6483.93,0.62827,0.50104,1.06261,0.94554,0.91383,0.94905,0.85827,0.4784,0.3653,0.9333,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
